.ci,.x,.y,.sids,.axisIndex,UKA_app.UKA.Kinase Name,UKA_app.UKA.Median Final score,.ri,.xs,.ys,.y0s
0,1.121820606,0.722345979,299,0,EPHA3,0.722345979,0,5591,488,65535
0,0.991401004,0.966576245,296,0,FLT1,0.966576245,0,2303,5823,65535
0,1.614746129,0.968316906,294,0,JAK2,0.968316906,0,18015,5861,65535
0,1.808780785,0.975350169,289,0,RET,0.975350169,0,22906,6014,65535
0,2.022080283,0.978017288,286,0,EGFR,0.978017288,0,28282,6073,65535
0,2.035595724,0.983401172,282,0,ITK,0.983401172,0,28623,6190,65535
0,1.655832576,0.994373406,278,0,FLT3,0.994373406,0,19051,6430,65535
0,1.840330401,0.997160332,275,0,KDR,0.997160332,0,23701,6491,65535
0,1.293981892,0.999028268,272,0,TYK2,0.999028268,0,9930,6532,65535
0,1.234969878,0.999806281,271,0,INSRR,0.999806281,0,8443,6549,65535
0,1.436915914,1.006105727,264,0,ROS1,1.006105727,0,13533,6686,65535
0,1.342632336,1.014268235,259,0,EPHB1,1.014268235,0,11156,6865,65535
0,1.988408555,1.020123979,257,0,FGFR1,1.020123979,0,27433,6993,65535
0,1.556249486,1.028057672,250,0,EPHB4,1.028057672,0,16541,7166,65535
0,1.699996567,1.029058352,249,0,JAK1,1.029058352,0,20164,7188,65535
0,1.958384439,1.030062502,248,0,BTK,1.030062502,0,26676,7210,65535
0,1.817359905,1.035118374,242,0,FGFR3,1.035118374,0,23122,7320,65535
0,1.444133035,1.03613665,241,0,EPHA4,1.03613665,0,13715,7342,65535
0,1.942951248,1.042296958,235,0,FES,1.042296958,0,26287,7477,65535
0,1.644854954,1.050669502,231,0,EPHA5,1.050669502,0,18774,7660,65535
0,1.904724945,1.051704427,230,0,MST1R,1.051704427,0,25324,7682,65535
0,2.121355601,1.053822941,225,0,ERBB4,1.053822941,0,30784,7729,65535
0,1.830270763,1.066755742,216,0,JAK3,1.066755742,0,23447,8011,65535
0,1.637558726,1.067856602,215,0,EPHA10,1.067856602,0,18590,8035,65535
0,2.217655408,1.086907039,208,0,CSK,1.086907039,0,33212,8451,65535
0,1.992498083,1.093837417,207,0,EPHA2,1.093837417,0,27536,8603,65535
0,2.21879592,1.098519883,203,0,SRMS,1.098519883,0,33240,8705,65535
0,1.99859866,1.104444865,198,0,FGFR2,1.104444865,0,27690,8834,65535
0,2.236984401,1.104444865,199,0,MERTK,1.104444865,0,33699,8834,65535
0,2.27875541,1.119003585,189,0,PTK6,1.119003585,0,34752,9152,65535
0,2.194724115,1.139206971,177,0,FGFR4,1.139206971,0,32634,9594,65535
0,2.121789051,1.140501442,176,0,FER,1.140501442,0,30795,9622,65535
0,2.263434754,1.145718255,174,0,ERBB2,1.145718255,0,34365,9736,65535
0,2.245155461,1.155001239,170,0,TXK,1.155001239,0,33905,9939,65535
0,2.092893568,1.167364851,169,0,EPHB3,1.167364851,0,30067,10209,65535
0,2.136717384,1.172967788,164,0,PTK7,1.172967788,0,31171,10331,65535
0,2.272198992,1.174184555,163,0,LYN,1.174184555,0,34586,10358,65535
0,2.325798244,1.185539306,156,0,ABL1,1.185539306,0,35937,10606,65535
0,2.214373941,1.195724233,151,0,EPHB2,1.195724233,0,33129,10828,65535
0,2.305495,1.198678628,150,0,NTRK1,1.198678628,0,35426,10893,65535
0,2.316862996,1.218388218,145,0,ABL2,1.218388218,0,35712,11324,65535
0,2.300141734,1.243158598,142,0,EPHA1,1.243158598,0,35291,11865,65535
0,2.274787273,1.260715898,133,0,EPHA7,1.260715898,0,34652,12248,65535
0,2.333061642,1.264145708,132,0,KIT,1.264145708,0,36120,12323,65535
0,2.381822367,1.298190328,123,0,FRK,1.298190328,0,37349,13067,65535
0,2.374061054,1.307878907,120,0,CSF1R,1.307878907,0,37154,13278,65535
0,2.366340882,1.329086515,114,0,BMX,1.329086515,0,36959,13742,65535
0,2.407900924,1.355916081,108,0,PTK2B,1.355916081,0,38007,14328,65535
0,2.416047177,1.360194879,107,0,NTRK2,1.360194879,0,38212,14421,65535
0,2.520968813,1.373290177,104,0,PDGFRA,1.373290177,0,40857,14707,65535
0,2.408365534,1.427500146,93,0,ALK,1.427500146,0,38018,15891,65535
0,2.500664522,1.469646596,87,0,PDGFRB,1.469646596,0,40345,16812,65535
0,2.442115444,1.510210211,83,0,PTK2,1.510210211,0,38869,17698,65535
0,2.466385912,1.519418213,80,0,MET,1.519418213,0,39481,17899,65535
0,2.445826853,1.525667162,78,0,TYRO3,1.525667162,0,38963,18036,65535
0,2.445130998,1.53844145,74,0,TEC,1.53844145,0,38945,18315,65535
0,2.56042136,1.551602897,71,0,LTK,1.551602897,0,41851,18602,65535
0,2.511027479,1.554956539,70,0,FYN,1.554956539,0,40606,18676,65535
0,2.621162709,1.589999287,62,0,FGR,1.589999287,0,43382,19441,65535
0,2.536420508,1.60108826,61,0,NTRK3,1.60108826,0,41246,19683,65535
0,3.020409034,1.636162471,58,0,FLT4,1.636162471,0,53445,20450,65535
0,2.453187099,1.726026996,47,0,AXL,1.726026996,0,39148,22413,65535
0,2.756591206,1.762456262,44,0,IGF1R,1.762456262,0,46796,23209,65535
0,3.29098012,1.808255644,40,0,ROR1,1.808255644,0,60265,24209,65535
0,2.494333933,1.820448209,39,0,ERBB3,1.820448209,0,40185,24475,65535
0,2.603773378,1.966576245,31,0,SRC,1.966576245,0,42944,27667,65535
0,2.737647533,1.984305011,30,0,YES1,1.984305011,0,46318,28055,65535
0,2.596961543,2.032077793,25,0,MATK,2.032077793,0,42772,29098,65535
0,2.737211197,2.032077793,24,0,INSR,2.032077793,0,46307,29098,65535
0,3.424102366,2.218388218,14,0,RYK,2.218388218,0,63620,33168,65535
0,2.788972063,2.303818413,12,0,LCK,2.303818413,0,47612,35034,65535
0,2.55167997,2.519418213,8,0,SYK,2.519418213,0,41631,39744,65535
0,2.587840518,2.519418213,9,0,ZAP70,2.519418213,0,42542,39744,65535
0,2.756906186,2.586365003,4,0,HCK,2.586365003,0,46804,41207,65535
0,3.23515135,3.665546249,0,0,BLK,3.665546249,0,58858,64781,65535
1,-17.40190291,0.970064572,292,0,JAK1,0.970064572,0,64336,5899,65535
1,-18.20046126,0.974024749,290,0,ROS1,0.974024749,0,61958,5985,65535
1,-19.42600957,0.98205103,283,0,PTK7,0.98205103,0,58307,6161,65535
1,-20.84449399,1.002788417,266,0,TYK2,1.002788417,0,54081,6614,65535
1,-26.14185068,1.010407814,262,0,FGFR1,1.010407814,0,38302,6780,65535
1,-25.53579295,1.012333735,261,0,FGR,1.012333735,0,40107,6822,65535
1,-26.60365032,1.019142523,258,0,FLT1,1.019142523,0,36926,6971,65535
1,-25.23220112,1.022093572,256,0,KIT,1.022093572,0,41011,7036,65535
1,-22.33159148,1.022594396,255,0,EPHB4,1.022594396,0,49652,7046,65535
1,-26.3434658,1.024072138,252,0,JAK2,1.024072138,0,37701,7079,65535
1,-24.62117918,1.040233798,237,0,JAK3,1.040233798,0,42831,7432,65535
1,-25.24509903,1.045410194,234,0,FGFR3,1.045410194,0,40973,7545,65535
1,-23.26207293,1.048085233,232,0,EPHB3,1.048085233,0,46880,7603,65535
1,-27.12202928,1.053822941,226,0,LTK,1.053822941,0,35382,7729,65535
1,-22.82749607,1.059176858,222,0,EPHA3,1.059176858,0,48174,7846,65535
1,-23.74354169,1.065663177,218,0,FLT4,1.065663177,0,45446,7987,65535
1,-23.43475208,1.07134077,214,0,INSRR,1.07134077,0,46366,8111,65535
1,-27.74063166,1.074481642,211,0,BTK,1.074481642,0,33539,8180,65535
1,-28.71217234,1.103253384,201,0,EGFR,1.103253384,0,30645,8808,65535
1,-28.66828743,1.103253384,202,0,ERBB3,1.103253384,0,30776,8808,65535
1,-26.94851874,1.106837678,195,0,FLT3,1.106837678,0,35899,8887,65535
1,-28.83019437,1.128987806,184,0,ZAP70,1.128987806,0,30294,9371,65535
1,-27.48268085,1.130252129,183,0,FGFR4,1.130252129,0,34307,9398,65535
1,-28.13148511,1.131520143,182,0,NTRK1,1.131520143,0,32375,9426,65535
1,-26.2977513,1.132911419,180,0,EPHA1,1.132911419,0,37837,9456,65535
1,-28.71429537,1.17278586,165,0,HCK,1.17278586,0,30639,10327,65535
1,-29.209181,1.175587769,161,0,SYK,1.175587769,0,29165,10389,65535
1,-27.63985023,1.186273863,155,0,EPHA5,1.186273863,0,33839,10622,65535
1,-27.82217915,1.191329985,153,0,FGFR2,1.191329985,0,33296,10732,65535
1,-27.71623778,1.193660536,152,0,ROR1,1.193660536,0,33612,10783,65535
1,-29.13915435,1.209180216,147,0,RET,1.209180216,0,29373,11122,65535
1,-28.98547643,1.259006068,134,0,EPHA4,1.259006068,0,29831,12211,65535
1,-29.39756419,1.26760624,130,0,FES,1.26760624,0,28603,12399,65535
1,-29.51649423,1.283529206,127,0,NTRK3,1.283529206,0,28249,12747,65535
1,-29.79354702,1.317241386,118,0,INSR,1.317241386,0,27424,13483,65535
1,-29.58441097,1.321153975,117,0,ALK,1.321153975,0,28047,13568,65535
1,-30.3607808,1.323123568,116,0,EPHB1,1.323123568,0,25734,13611,65535
1,-30.05592982,1.335137217,112,0,EPHA7,1.335137217,0,26642,13874,65535
1,-29.64487532,1.343326954,111,0,PTK2B,1.343326954,0,27867,14053,65535
1,-29.83160963,1.349575903,110,0,MATK,1.349575903,0,27310,14189,65535
1,-30.27089719,1.37998894,103,0,YES1,1.37998894,0,26002,14854,65535
1,-29.75367364,1.37998894,102,0,LYN,1.37998894,0,27543,14854,65535
1,-29.59643446,1.38224502,100,0,AXL,1.38224502,0,28011,14903,65535
1,-29.97161221,1.389084445,99,0,TXK,1.389084445,0,26893,15052,65535
1,-29.91726256,1.393704642,98,0,CSK,1.393704642,0,27055,15153,65535
1,-31.12120814,1.415126247,95,0,EPHA2,1.415126247,0,23469,15621,65535
1,-29.97081513,1.420033581,94,0,ERBB2,1.420033581,0,26896,15728,65535
1,-31.97445309,1.450702401,90,0,EPHB2,1.450702401,0,20927,16398,65535
1,-30.40886322,1.461426266,89,0,BMX,1.461426266,0,25591,16633,65535
1,-30.11814022,1.461426266,88,0,ABL1,1.461426266,0,26457,16633,65535
1,-30.16628691,1.478025528,86,0,ABL2,1.478025528,0,26314,16995,65535
1,-30.2349368,1.480854818,85,0,PTK2,1.480854818,0,26109,17057,65535
1,-33.43112411,1.525712777,77,0,EPHA10,1.525712777,0,16588,18037,65535
1,-33.17572506,1.551602897,72,0,RYK,1.551602897,0,17349,18602,65535
1,-30.55117222,1.565175704,68,0,ERBB4,1.565175704,0,25167,18899,65535
1,-30.53935167,1.568636236,67,0,SRC,1.568636236,0,25202,18975,65535
1,-31.54593828,1.616328226,60,0,NTRK2,1.616328226,0,22204,20016,65535
1,-30.3131627,1.628119751,59,0,PTK6,1.628119751,0,25876,20274,65535
1,-30.70223326,1.640240384,56,0,ITK,1.640240384,0,24717,20539,65535
1,-31.69906764,1.669911054,53,0,IGF1R,1.669911054,0,21748,21187,65535
1,-34.46229188,1.676821635,52,0,CSF1R,1.676821635,0,13517,21338,65535
1,-31.06774185,1.687822644,51,0,MET,1.687822644,0,23628,21578,65535
1,-30.76957796,1.6970633,50,0,TYRO3,1.6970633,0,24516,21780,65535
1,-32.8617106,1.711303739,49,0,FER,1.711303739,0,18284,22091,65535
1,-30.59769947,1.726026996,48,0,MERTK,1.726026996,0,25028,22413,65535
1,-32.19681224,1.779055524,42,0,KDR,1.779055524,0,20265,23571,65535
1,-32.80547689,1.887394998,35,0,PDGFRB,1.887394998,0,18452,25938,65535
1,-35.44415769,1.949542905,34,0,MST1R,1.949542905,0,10592,27295,65535
1,-33.97974846,2.074481642,21,0,BLK,2.074481642,0,14954,30025,65535
1,-33.09957632,2.109243748,18,0,FYN,2.109243748,0,17576,30784,65535
1,-31.76840151,2.109243748,19,0,TEC,2.109243748,0,21541,30784,65535
1,-38.28549378,2.188424994,17,0,PDGFRA,2.188424994,0,2128,32514,65535
1,-32.27616986,2.343326954,11,0,FRK,2.343326954,0,20029,35897,65535
1,-32.91523104,2.551602897,7,0,SRMS,2.551602897,0,18125,40447,65535
1,-36.21961606,3.665546249,1,0,LCK,3.665546249,0,8282,64781,65535
2,-17.28350186,0.967445703,295,0,JAK1,0.967445703,0,64819,5842,65535
2,-19.30360985,0.973140238,291,0,ROS1,0.973140238,0,59727,5966,65535
2,-23.11842089,0.97890998,285,0,JAK3,0.97890998,0,50112,6092,65535
2,-27.65566439,0.980700887,284,0,HCK,0.980700887,0,38675,6131,65535
2,-21.87535245,0.994373406,279,0,TYK2,0.994373406,0,53245,6430,65535
2,-22.44647771,0.995658598,277,0,INSRR,0.995658598,0,51805,6458,65535
2,-31.59690097,0.997160332,276,0,SYK,0.997160332,0,28741,6491,65535
2,-22.39567563,0.997632827,274,0,PTK7,0.997632827,0,51933,6501,65535
2,-22.92247177,1.002359882,267,0,EPHB4,1.002359882,0,50606,6604,65535
2,-28.75718204,1.004680771,265,0,FLT1,1.004680771,0,35899,6655,65535
2,-29.37814266,1.009448047,263,0,NTRK1,1.009448047,0,34334,6759,65535
2,-27.33311903,1.023081729,253,0,FGFR3,1.023081729,0,39488,7057,65535
2,-23.20292953,1.028056519,251,0,FLT4,1.028056519,0,49899,7166,65535
2,-30.29165534,1.03410248,244,0,YES1,1.03410248,0,32031,7298,65535
2,-29.81716871,1.03410248,243,0,JAK2,1.03410248,0,33227,7298,65535
2,-24.82803248,1.037052753,240,0,EPHB3,1.037052753,0,45803,7362,65535
2,-30.77720368,1.052762392,228,0,NTRK3,1.052762392,0,30808,7705,65535
2,-25.29654076,1.053824239,224,0,EPHA1,1.053824239,0,44622,7729,65535
2,-31.18400988,1.05595184,223,0,ERBB3,1.05595184,0,29782,7775,65535
2,-29.35839465,1.061320196,220,0,FES,1.061320196,0,34384,7892,65535
2,-30.99349933,1.064573353,219,0,BTK,1.064573353,0,30262,7963,65535
2,-32.02360548,1.072260182,212,0,ABL1,1.072260182,0,27666,8131,65535
2,-29.36102889,1.072260182,213,0,KIT,1.072260182,0,34377,8131,65535
2,-30.42700626,1.078958944,210,0,LYN,1.078958944,0,31690,8278,65535
2,-26.525862,1.094664634,206,0,EPHA3,1.094664634,0,41523,8621,65535
2,-31.19661925,1.095003309,205,0,LTK,1.095003309,0,29750,8628,65535
2,-29.07414929,1.106837678,196,0,EPHA2,1.106837678,0,35100,8887,65535
2,-32.29705902,1.108039047,194,0,EGFR,1.108039047,0,26977,8913,65535
2,-30.66878021,1.119003585,190,0,FLT3,1.119003585,0,31081,9152,65535
2,-30.54478357,1.12647015,188,0,FGR,1.12647015,0,31393,9316,65535
2,-32.20665918,1.128987806,186,0,TXK,1.128987806,0,27205,9371,65535
2,-31.83158148,1.128987806,185,0,INSR,1.128987806,0,28150,9371,65535
2,-32.07475953,1.13279187,181,0,PTK2B,1.13279187,0,27537,9454,65535
2,-32.11968447,1.136629549,179,0,BMX,1.136629549,0,27424,9538,65535
2,-29.19302421,1.14643493,173,0,EPHA5,1.14643493,0,34801,9752,65535
2,-30.72925611,1.147032309,172,0,FGFR2,1.147032309,0,30928,9765,65535
2,-32.66183193,1.148350351,171,0,ZAP70,1.148350351,0,26057,9794,65535
2,-31.83903622,1.171391655,166,0,RET,1.171391655,0,28131,10297,65535
2,-30.56882274,1.18124641,158,0,EPHB2,1.18124641,0,31333,10512,65535
2,-29.84322307,1.18278783,157,0,ROR1,1.18278783,0,33162,10546,65535
2,-29.88640328,1.186979753,154,0,EPHA4,1.186979753,0,33053,10637,65535
2,-33.0999522,1.204648406,148,0,ABL2,1.204648406,0,24953,11023,65535
2,-32.98223327,1.210701389,146,0,AXL,1.210701389,0,25250,11156,65535
2,-31.97786654,1.232576958,144,0,EPHB1,1.232576958,0,27781,11633,65535
2,-33.08623283,1.242300375,143,0,SRC,1.242300375,0,24988,11846,65535
2,-33.1483154,1.2455905,141,0,NTRK2,1.2455905,0,24831,11918,65535
2,-31.6943711,1.254789485,136,0,EPHA7,1.254789485,0,28496,12119,65535
2,-33.25117058,1.259006068,135,0,MATK,1.259006068,0,24572,12211,65535
2,-33.13733058,1.265872527,131,0,BLK,1.265872527,0,24859,12361,65535
2,-33.37969437,1.281730883,129,0,FGFR1,1.281730883,0,24248,12707,65535
2,-32.61203811,1.287148348,126,0,RYK,1.287148348,0,26183,12826,65535
2,-32.95957708,1.290797903,125,0,PDGFRA,1.290797903,0,25307,12905,65535
2,-33.49342785,1.294478387,124,0,TEC,1.294478387,0,23961,12986,65535
2,-33.37329866,1.301934269,122,0,CSK,1.301934269,0,24264,13149,65535
2,-33.49465485,1.303818413,121,0,FER,1.303818413,0,23958,13190,65535
2,-33.28467653,1.309520392,119,0,IGF1R,1.309520392,0,24487,13314,65535
2,-33.62528555,1.329086515,115,0,FYN,1.329086515,0,23629,13742,65535
2,-33.82441898,1.371080023,106,0,ALK,1.371080023,0,23127,14659,65535
2,-33.64314418,1.38224502,101,0,PTK6,1.38224502,0,23584,14903,65535
2,-35.03022395,1.432616984,91,0,CSF1R,1.432616984,0,20088,16003,65535
2,-36.80919788,1.519595549,79,0,EPHA10,1.519595549,0,15604,17903,65535
2,-34.79964729,1.541694608,73,0,ERBB4,1.541694608,0,20669,18386,65535
2,-34.75891574,1.575641137,64,0,ITK,1.575641137,0,20771,19128,65535
2,-35.24055735,1.665546249,55,0,SRMS,1.665546249,0,19557,21092,65535
2,-35.01116009,1.669911054,54,0,MERTK,1.669911054,0,20136,21187,65535
2,-36.84174966,1.736127323,46,0,KDR,1.736127323,0,15522,22633,65535
2,-36.02680879,1.839471446,38,0,ERBB2,1.839471446,0,17576,24891,65535
2,-36.20688314,1.873154559,36,0,PTK2,1.873154559,0,17122,25627,65535
2,-35.99804975,1.966576245,32,0,FRK,1.966576245,0,17648,27667,65535
2,-35.70622026,1.966576245,33,0,TYRO3,1.966576245,0,18384,27667,65535
2,-37.45970578,2.012333735,28,0,LCK,2.012333735,0,13964,28667,65535
2,-38.06031392,2.032077793,26,0,FGFR4,2.032077793,0,12450,29098,65535
2,-39.10323768,2.063486258,22,0,PDGFRB,2.063486258,0,9821,29784,65535
2,-42.52836778,2.218388218,15,0,MST1R,2.218388218,0,1188,33168,65535
2,-37.3002035,2.364516253,10,0,MET,2.364516253,0,14366,36360,65535
3,1.121820606,0.728538427,298,0,EPHA3,0.728538427,0,5591,623,65535
3,0.991401005,0.966576245,297,0,FLT1,0.966576245,0,2303,5823,65535
3,1.614746128,0.970064572,293,0,JAK2,0.970064572,0,18015,5899,65535
3,1.808780785,0.97623739,288,0,RET,0.97623739,0,22906,6034,65535
3,2.022080284,0.97623739,287,0,EGFR,0.97623739,0,28282,6034,65535
3,1.655832576,0.984305011,281,0,FLT3,0.984305011,0,19051,6210,65535
3,2.035595724,0.99160425,280,0,ITK,0.99160425,0,28623,6369,65535
3,1.840330404,0.998093296,273,0,KDR,0.998093296,0,23701,6511,65535
3,1.234969879,1.000745625,270,0,INSRR,1.000745625,0,8443,6569,65535
3,1.293981891,1.000904273,269,0,TYK2,1.000904273,0,9930,6573,65535
3,1.436915916,1.001849411,268,0,ROS1,1.001849411,0,13533,6593,65535
3,1.342632336,1.014268235,260,0,EPHB1,1.014268235,0,11156,6865,65535
3,1.958384439,1.023081729,254,0,BTK,1.023081729,0,26676,7057,65535
3,1.699996569,1.031068979,247,0,JAK1,1.031068979,0,20164,7232,65535
3,1.556249484,1.033107836,246,0,EPHB4,1.033107836,0,16541,7276,65535
3,1.817359905,1.03410248,245,0,FGFR3,1.03410248,0,23122,7298,65535
3,1.444133035,1.037157319,238,0,EPHA4,1.037157319,0,13715,7365,65535
3,1.988408553,1.037157319,239,0,FGFR1,1.037157319,0,27433,7365,65535
3,1.942951246,1.042296958,236,0,FES,1.042296958,0,26287,7477,65535
3,1.644854954,1.04549013,233,0,EPHA5,1.04549013,0,18774,7547,65535
3,1.904724949,1.052762392,229,0,MST1R,1.052762392,0,25324,7705,65535
3,2.121355602,1.053822941,227,0,ERBB4,1.053822941,0,30784,7729,65535
3,1.830270768,1.061320196,221,0,JAK3,1.061320196,0,23447,7892,65535
3,1.637558724,1.066209459,217,0,EPHA10,1.066209459,0,18590,7999,65535
3,2.218795921,1.086907039,209,0,SRMS,1.086907039,0,33240,8451,65535
3,2.217655408,1.096172339,204,0,CSK,1.096172339,0,33212,8654,65535
3,1.998598661,1.104444865,200,0,FGFR2,1.104444865,0,27690,8834,65535
3,1.992498083,1.105639624,197,0,EPHA2,1.105639624,0,27536,8861,65535
3,2.27875541,1.109243748,193,0,PTK6,1.109243748,0,34752,8939,65535
3,2.236984402,1.112878033,192,0,MERTK,1.112878033,0,33699,9019,65535
3,2.121789049,1.119003585,191,0,FER,1.119003585,0,30795,9152,65535
3,2.245155462,1.127727154,187,0,TXK,1.127727154,0,33905,9343,65535
3,2.194724113,1.137916348,178,0,FGFR4,1.137916348,0,32634,9566,65535
3,2.263434757,1.143102015,175,0,ERBB2,1.143102015,0,34365,9679,65535
3,2.136717382,1.170741259,168,0,PTK7,1.170741259,0,31171,10283,65535
3,2.272198991,1.171391655,167,0,LYN,1.171391655,0,34586,10297,65535
3,2.092893568,1.174302086,162,0,EPHB3,1.174302086,0,30067,10360,65535
3,2.21437394,1.178407873,160,0,EPHB2,1.178407873,0,33129,10450,65535
3,2.316862995,1.179824822,159,0,ABL2,1.179824822,0,35712,10481,65535
3,2.305495,1.203148251,149,0,NTRK1,1.203148251,0,35426,10991,65535
3,2.274787274,1.247295578,140,0,EPHA7,1.247295578,0,34652,11955,65535
3,2.300141732,1.249164096,139,0,EPHA1,1.249164096,0,35291,11996,65535
3,2.325798243,1.250572901,138,0,ABL1,1.250572901,0,35937,12027,65535
3,2.333061644,1.252246485,137,0,KIT,1.252246485,0,36120,12063,65535
3,2.374061051,1.282741771,128,0,CSF1R,1.282741771,0,37154,12729,65535
3,2.381822368,1.331092498,113,0,FRK,1.331092498,0,37349,13786,65535
3,2.366340883,1.353792388,109,0,BMX,1.353792388,0,36959,14281,65535
3,2.520968809,1.373290177,105,0,PDGFRA,1.373290177,0,40857,14707,65535
3,2.407900923,1.407867674,97,0,PTK2B,1.407867674,0,38007,15463,65535
3,2.41604718,1.410273744,96,0,NTRK2,1.410273744,0,38212,15515,65535
3,2.408365532,1.430017802,92,0,ALK,1.430017802,0,38018,15946,65535
3,2.50066452,1.501193393,84,0,PDGFRB,1.501193393,0,40345,17501,65535
3,2.445130999,1.513257904,82,0,TEC,1.513257904,0,38945,17765,65535
3,2.442115447,1.519418213,81,0,PTK2,1.519418213,0,38869,17899,65535
3,2.466385913,1.53844145,76,0,MET,1.53844145,0,39481,18315,65535
3,2.56042136,1.53844145,75,0,LTK,1.53844145,0,41851,18315,65535
3,2.445826853,1.565175704,69,0,TYRO3,1.565175704,0,38963,18899,65535
3,2.621162709,1.572124564,66,0,FGR,1.572124564,0,43382,19051,65535
3,2.51102748,1.575641137,65,0,FYN,1.575641137,0,40606,19128,65535
3,2.53642051,1.589999287,63,0,NTRK3,1.589999287,0,41246,19441,65535
3,3.020409034,1.640240384,57,0,FLT4,1.640240384,0,53445,20539,65535
3,2.756591207,1.75706123,45,0,IGF1R,1.75706123,0,46796,23091,65535
3,2.453187098,1.773451646,43,0,AXL,1.773451646,0,39148,23449,65535
3,2.494333934,1.790484985,41,0,ERBB3,1.790484985,0,40185,23821,65535
3,3.29098013,1.869791344,37,0,ROR1,1.869791344,0,60265,25553,65535
3,2.737211198,2.012333735,29,0,INSR,2.012333735,0,46307,28667,65535
3,2.737647533,2.022093572,27,0,YES1,2.022093572,0,46318,28880,65535
3,2.596961542,2.052762392,23,0,MATK,2.052762392,0,42772,29550,65535
3,2.603773379,2.085762652,20,0,SRC,2.085762652,0,42944,30271,65535
3,3.424102366,2.218388218,16,0,RYK,2.218388218,0,63620,33168,65535
3,2.788972062,2.26760624,13,0,LCK,2.26760624,0,47612,34243,65535
3,2.587840519,2.586365003,6,0,ZAP70,2.586365003,0,42542,41207,65535
3,2.756906186,2.586365003,5,0,HCK,2.586365003,0,46804,41207,65535
3,2.55167997,2.665546249,3,0,SYK,2.665546249,0,41631,42936,65535
3,3.235151349,3.665546249,2,0,BLK,3.665546249,0,58858,64781,65535
